service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
T4@3,0,0,0,0,0,0,1,20190626,20190926
10.51@2,0,0,0,0,0,1,0,20190626,20190926
10.51@5,0,0,0,0,0,0,0,20190626,20190926
T52@1,1,1,1,1,1,0,0,20190626,20190926
10.1@1,1,1,1,1,1,0,0,20190626,20190926
E101@1,1,1,1,1,1,0,0,20190626,20190926
T1@3,0,0,0,0,0,0,1,20190626,20190926
T22@3,0,0,0,0,0,0,1,20190626,20190926
T3@2,0,0,0,0,0,1,0,20190626,20190926
T51@1,1,1,1,1,1,0,0,20190626,20190926
A143@1,1,1,1,1,1,0,0,20190626,20190926
149@3,0,0,0,0,0,0,1,20190626,20190926
T51@3,0,0,0,0,0,0,1,20190626,20190926
10.6@3,0,0,0,0,0,0,1,20190626,20190926
TR60@1,1,1,1,1,1,0,0,20190626,20190926
R5@1,1,1,1,1,1,0,0,20190626,20190926
TR32@1,1,1,1,1,1,0,0,20190626,20190926
C801@1,1,1,1,1,1,0,0,20190626,20190926
10.52@1,1,1,1,1,1,0,0,20190626,20190926
T9@3,0,0,0,0,0,0,1,20190626,20190926
T22@5,0,0,0,0,0,0,0,20190626,20190926
10.7@2,0,0,0,0,0,1,0,20190626,20190926
A19@1,1,1,1,1,1,0,0,20190626,20190926
177@1,1,1,1,1,1,0,0,20190626,20190926
10.7@1,1,1,1,1,1,0,0,20190626,20190926
E6011@2,0,0,0,0,0,1,0,20190626,20190926
C802@1,1,1,1,1,1,0,0,20190626,20190926
A09@2,0,0,0,0,0,1,0,20190626,20190926
171@1,1,1,1,1,1,0,0,20190626,20190926
176@1,1,1,1,1,1,0,0,20190626,20190926
T11@2,0,0,0,0,0,1,0,20190626,20190926
T11@5,0,0,0,0,0,0,0,20190626,20190926
173@2,0,0,0,0,0,1,0,20190626,20190926
179@2,0,0,0,0,0,1,0,20190626,20190926
10.7@5,0,0,0,0,0,0,0,20190626,20190926
E6011@1,1,1,1,1,1,0,0,20190626,20190926
A09@5,0,0,0,0,0,0,0,20190626,20190926
2573@3,0,0,0,0,0,0,1,20190626,20190926
179@1,1,1,1,1,1,0,0,20190626,20190926
184@2,0,0,0,0,0,1,0,20190626,20190926
E6011@5,0,0,0,0,0,0,0,20190626,20190926
1713@1,1,1,1,1,1,0,0,20190626,20190926
M79@3,0,0,0,0,0,0,1,20190626,20190926
280@1,1,1,1,1,1,0,0,20190626,20190926
T3@1,1,1,1,1,1,0,0,20190626,20190926
