service_id,date,exception_type
10.51@5,20190620,1
10.51@1,20190620,2
T11@5,20190620,1
T11@1,20190620,2
10.7@5,20190620,1
10.7@1,20190620,2
A09@5,20190620,1
A09@1,20190620,2
E6011@5,20190620,1
E6011@1,20190620,2
179@5,20190620,1
179@1,20190620,2
173@5,20190620,1
173@1,20190620,2
184@5,20190620,1
184@1,20190620,2
10.5@5,20190620,1
10.5@1,20190620,2
195@5,20190620,1
195@1,20190620,2
178@5,20190620,1
178@1,20190620,2
C80@5,20190620,1
C80@1,20190620,2
T4@5,20190620,1
T4@1,20190620,2
216@5,20190620,1
216@1,20190620,2
T52@5,20190620,1
T52@1,20190620,2
262@5,20190620,1
262@1,20190620,2
10.52@5,20190620,1
10.52@1,20190620,2
T9@5,20190620,1
T9@1,20190620,2
2602@5,20190620,1
2602@1,20190620,2
A19@5,20190620,1
A19@1,20190620,2
149@5,20190620,1
149@1,20190620,2
209@5,20190620,1
209@1,20190620,2
A17@5,20190620,1
A17@1,20190620,2
188@5,20190620,1
188@1,20190620,2
A14@5,20190620,1
A14@1,20190620,2
176@5,20190620,1
176@1,20190620,2
2821@5,20190620,1
2821@1,20190620,2
M10@5,20190620,1
M10@1,20190620,2
255@5,20190620,1
255@1,20190620,2
10.3@5,20190620,1
10.3@1,20190620,2
266@5,20190620,1
266@1,20190620,2
A13@5,20190620,1
A13@1,20190620,2
10.6@5,20190620,1
10.6@1,20190620,2
2843@5,20190620,1
2843@1,20190620,2
210@5,20190620,1
210@1,20190620,2
A141@5,20190620,1
A141@1,20190620,2
2701@5,20190620,1
2701@1,20190620,2
T12A@5,20190620,1
T12A@1,20190620,2
283@5,20190620,1
283@1,20190620,2
2672@5,20190620,1
2672@1,20190620,2
A991@5,20190620,1
A991@1,20190620,2
211@5,20190620,1
211@1,20190620,2
165@5,20190620,1
165@1,20190620,2
244@5,20190620,1
244@1,20190620,2
4292@5,20190620,1
4292@1,20190620,2
344@5,20190620,1
344@1,20190620,2
A288@5,20190620,1
A288@1,20190620,2
470@5,20190620,1
470@1,20190620,2
A87@5,20190620,1
A87@1,20190620,2
2685@5,20190620,1
2685@1,20190620,2
286@5,20190620,1
286@1,20190620,2
