stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
5902,,HIPICA EDGAR PIRES DE CASTRO,,-30.156342,-51.164974
321,,HIPICA EDGAR PIRES DE CASTRO,,-30.156405,-51.164801
5757,,CRISTAL DIARIO DE NOTICIAS,,-30.085547,-51.247463
5755,,CRISTAL DIARIO DE NOTICIAS,,-30.086048,-51.24759
6425,,CAVALHADA PAULO PONTES,,-30.106106,-51.226416
2125,,SANTANA SAO MANOEL,,-30.045917,-51.203582
6424,,CAVALHADA PAULO PONTES,,-30.103909,-51.226984
6609,,MARIO QUINTANA IRMA TERESILDA STEFFEN,,-30.025921,-51.117649
4743,,RUBEM BERTA WOLFRAM METZLER,,-30.024081,-51.102789
1086,,CAMPO NOVO OZORIO JOSE MARTINS,,-30.131097,-51.203139
3943,,JARDIM FLORESTA SERTORIO,,-29.998533,-51.158832
921,,CAMAQUA OTTO NIEMEYER,,-30.102259,-51.231633
824,,CAMAQUA OTTO NIEMEYER,,-30.103111,-51.23411
808,,CAMAQUA OTTO NIEMEYER,,-30.104056,-51.236902
6162,,PARTENON FREI GERMANO,,-30.061101,-51.167505
313,,RESTINGA JOAO ANTONIO SILVEIRA,,-30.165285,-51.154152
4718,,JARDIM LEOPOLDINA SARGENTO SILVIO DELMAR HOLLENBACH,,-30.021968,-51.109871
280,,HIPICA EDGAR PIRES DE CASTRO,,-30.155642,-51.18195
2629,,CEL APARICIO BORGES TEN ARY TARRAGO PARTENON,,-30.071292,-51.179759
6625,,BOA VISTA DO SUL EDGAR PIRES DE CASTRO,,-30.214808,-51.10664
287,,HIPICA EDGAR PIRES DE CASTRO,,-30.155195,-51.176351
815,,CAMAQUA DR BARCELOS,,-30.101646,-51.237733
812,,CAMAQUA DR BARCELOS,,-30.102141,-51.239192
6176,,VILA NOVA ATILIO SUPERTTI,,-30.120974,-51.212479
3254,,JARDIM SABARA DR OTAVIO SANTOS,,-30.037903,-51.144477
3253,,JARDIM SABARA DR OTAVIO SANTOS,,-30.039195,-51.145023
4220,,SARANDI TOLEDO PIZA,,-29.986404,-51.133333
1028,,NONOAI ORFANOTROFIO,,-30.084188,-51.224538
6624,,VILA ASSUNÇÃO GUAIBA,,-30.155633,-51.225352
26,,VL ASSUNCAO GUAIBA,,-30.156385,-51.225757
6622,,JARDIM ITU NITHEROY TAVEIRA RIBEIRO,,-30.028675,-51.133065
5664,,PASSO DAS PEDRAS TEN ARY TARRAGO,,-30.029433,-51.13266
6623,,JARDIM ITU NITHEROY TAVEIRA RIBEIRO,,-30.028593,-51.133087
2542,,LOMBA DO PINHEIRO SAO FRANCISCO,,-30.100937,-51.142005
6119,,CAMPO NOVO CRISTIANO KRAEMER,,-30.132919,-51.196903
2582,,LOMBA DO PINHEIRO SANTO DIAS DA SILVA,,-30.094699,-51.131449
2205,,RIO BRANCO MOSTARDEIRO,,-30.028812,-51.20617
1285,,CASCATA ENG LUDOLFO BOEHL,,-30.083323,-51.197753
6598,,JARDIM LINDOIA BOGOTA,,-30.007018,-51.148653
157,,LAGEADO LAMI,,-30.213135,-51.152893
560,,TRISTEZA DR BARCELOS,,-30.106038,-51.250339
561,,TRISTEZA DR BARCELOS,,-30.105961,-51.250346
1108,,VILA NOVA ATILIO SUPERTTI,,-30.118723,-51.212914
2462,,CASCATA PROF OSCAR PEREIRA,,-30.094295,-51.178195
3302,,MORRO SANTANA TEN ARY TARRAGO,,-30.032923,-51.134962
5232,,RESTINGA BARRO VERMELHO,,-30.163419,-51.14013
1262,,VILA NOVA BELEM VELHO,,-30.109974,-51.197143
6618,,RUBEM BERTA ADELINO FERREIRA JARDIM,,-30.021183,-51.105528
6620,,BOM FIM VENANCIO AIRES,,-30.037104,-51.209345
5568,,ZONA INDEFINIDA ASSIS BRASIL,,-29.975046,-51.11468
6619,,VILA NOVA TRES MENINAS,,-30.122081,-51.194487
1322,,SANTA TEREZA CAPIVARI,,-30.080266,-51.243767
876,,SANTA TEREZA CAPIVARI,,-30.082286,-51.240639
2588,,LOMBA DO PINHEIRO JOAO DE OLIVEIRA REMIAO,,-30.092527,-51.130437
2595,,LOMBA DO PINHEIRO JOAO DE OLIVEIRA REMIAO,,-30.093084,-51.12995
1283,,TERESOPOLIS PROF CARVALHO FREITAS,,-30.082092,-51.198235
1110,,VILA NOVA JOAO SALOMONI,,-30.11513,-51.213959
5530,,CENTRO LOUREIRO DA SILVA,,-30.034924,-51.222386
6542,,PASSO DA AREIA MARECHAL JOSE INACIO DA SILVA,,-30.012013,-51.178689
1383,,SANTA TEREZA CORREA LIMA,,-30.069481,-51.224651
1410,,SANTA TEREZA CORREA LIMA,,-30.067961,-51.224206
1720,,MEDIANEIRA SILVA PAES,,-30.071388,-51.209626
1726,,MEDIANEIRA VIAMAO,,-30.069482,-51.210229
6617,,HUMAITÁ IRMAO FELIX ROBERTO (ROBERTAO),,-29.986815,-51.187992
770,,CAMAQUA OTTO NIEMEYER,,-30.105401,-51.240842
803,,CAMAQUA OTTO NIEMEYER,,-30.105349,-51.240923
3245,,JARDIM SABARA DR OTAVIO SANTOS,,-30.041441,-51.145211
3246,,JARDIM SABARA DR OTAVIO SANTOS,,-30.041427,-51.145129
5231,,RESTINGA BARRO VERMELHO,,-30.163078,-51.145364
5200,,ZONA INDEFINIDA BERNARDINO SILVEIRA PASTORIZA,,-29.990897,-51.101044
772,,CRISTAL CEL CLAUDINO,,-30.098511,-51.242522
2151,,SANTA CECILIA DONA EUGENIA,,-30.040667,-51.204699
1794,,AZENHA PROF OSCAR PEREIRA,,-30.051727,-51.212531
1651,,CENTRO PROF ANNES DIAS,,-30.030211,-51.222654
3880,,CRISTO REDENTOR DOMINGOS MARTINS,,-30.006524,-51.161597
1655,,CENTRO SARMENTO LEITE,,-30.029767,-51.219368
6356,,MONT SERRAT FURRIEL LUIZ ANTONIO DE VARGAS,,-30.026809,-51.180395
6616,,CHACARA DAS PEDRAS JOSE GERTUM,,-30.038667,-51.159439
6615,,CHACARA DAS PEDRAS JOSE GERTUM,,-30.037382,-51.16017
3020,,CHACARA DAS PEDRAS JOSE GERTUM,,-30.0365,-51.16061
