route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_time
T1,T1@1,T1-2@1#520,,,1,,T1-2,2,53
T1,T1@1,T1-2@1#530,,,1,,T1-2,1,53
T1,T1@1,T1-2@1#540,,,1,,T1-2,1,53
T1,T1@1,T1-2@1#550,,,1,,T1-2,2,53
T1,T1@1,T1-2@1#600,,,1,,T1-2,1,53
T1,T1@1,T1-2@1#610,,,1,,T1-2,1,53
T1,T1@1,T1-2@1#620,,,1,,T1-2,2,60
T1,T1@1,T1-2@1#628,,,1,,T1-2,1,60
T1,T1@1,T1-2@1#636,,,1,,T1-2,1,60
T1,T1@1,T1-2@1#644,,,1,,T1-2,1,60
T1,T1@1,T1-2@1#652,,,1,,T1-2,1,60
T1,T1@1,T1-2@1#659,,,1,,T1-2,1,60
T1,T1@1,T1-2@1#706,,,1,,T1-2,2,60
T1,T1@1,T1-2@1#713,,,1,,T1-2,1,60
T1,T1@1,T1-2@1#720,,,1,,T1-2,2,60
T1,T1@1,T1-2@1#726,,,1,,T1-2,1,60
T1,T1@1,T1-2@1#733,,,1,,T1-2,2,60
T1,T1@1,T1-2@1#740,,,1,,T1-2,2,60
T1,T1@1,T1-2@1#747,,,1,,T1-2,1,60
T1,T1@1,T1-2@1#754,,,1,,T1-2,1,60
T1,T1@1,T1-2@1#801,,,1,,T1-2,2,60
T1,T1@1,T1-2@1#809,,,1,,T1-2,2,60
T1,T1@1,T1-2@1#817,,,1,,T1-2,1,60
T1,T1@1,T1-2@1#826,,,1,,T1-2,2,60
T1,T1@1,T1-2@1#835,,,1,,T1-2,1,60
T1,T1@1,T1-2@1#844,,,1,,T1-2,2,60
T1,T1@1,T1-2@1#854,,,1,,T1-2,1,60
T1,T1@1,T1-2@1#904,,,1,,T1-2,2,60
T1,T1@1,T1-2@1#914,,,1,,T1-2,1,60
T1,T1@1,T1-2@1#924,,,1,,T1-2,1,60
T1,T1@1,T1-2@1#936,,,1,,T1-2,1,60
T1,T1@1,T1-2@1#948,,,1,,T1-2,1,60
T1,T1@1,T1-2@1#1000,,,1,,T1-2,1,60
T1,T1@1,T1-2@1#1012,,,1,,T1-2,2,60
T1,T1@1,T1-2@1#1027,,,1,,T1-2,1,60
T1,T1@1,T1-2@1#1040,,,1,,T1-2,2,60
T1,T1@1,T1-2@1#1054,,,1,,T1-2,2,60
T1,T1@1,T1-2@1#1105,,,1,,T1-2,2,60
T1,T1@1,T1-2@1#1115,,,1,,T1-2,1,60
T1,T1@1,T1-2@1#1125,,,1,,T1-2,2,60
T1,T1@1,T1-2@1#1135,,,1,,T1-2,2,60
T1,T1@1,T1-2@1#1144,,,1,,T1-2,2,60
T1,T1@1,T1-2@1#1153,,,1,,T1-2,1,60
T1,T1@1,T1-2@1#1202,,,1,,T1-2,1,60
